109.122.196.67:443#DE_1 [优选高速125ms]
154.219.104.17:443#HK_1 [优选高速46ms]
122.10.119.252:443#HK_2 [优选高速47ms]
123.254.106.203:443#HK_3 [优选高速62ms]
47.83.14.42:8443#HK_4 [优选高速63ms]
45.143.233.162:8443#JP_1 [优选高速47ms]
45.89.232.111:8443#JP_2 [优选高速62ms]
154.19.187.181:443#JP_3 [优选高速62ms]
158.51.110.61:8443#JP_4 [优选高速62ms]
154.19.187.181:8443#JP_5 [优选高速62ms]
154.31.117.200:443#JP_6 [优选高速62ms]
154.31.117.245:443#JP_7 [优选高速62ms]
45.192.199.137:443#JP_8 [优选高速62ms]
144.24.73.232:443#KR_1 [优选高速78ms]
129.154.50.159:443#KR_2 [优选高速78ms]
129.154.53.255:443#KR_3 [优选高速78ms]
43.200.87.5:443#KR_4 [优选高速109ms]
147.45.147.212:2053#RU_1 [优选高速109ms]
109.71.242.243:8443#RU_2 [优选高速109ms]
3.1.116.161:8443#SG_1 [优选高速78ms]
149.28.152.204:443#SG_2 [优选高速79ms]
45.76.185.254:8443#SG_3 [优选高速79ms]
3.1.116.161:2053#SG_4 [优选高速93ms]
45.77.241.64:443#SG_5 [优选高速94ms]
139.180.220.7:443#SG_6 [优选高速94ms]
138.2.85.81:2083#TH_1 [优选高速110ms]
