139.185.38.137:2053#AE_1 [391ms]
45.86.228.104:443#AE_2 [453ms]
84.235.245.65:2096#AE_3 [468ms]
147.78.0.186:8443#AE_4 [1390ms]
185.75.243.102:443#AL_1 [328ms]
194.156.103.36:2053#AM_1 [188ms]
2.56.204.246:443#AM_2 [250ms]
213.159.76.175:443#AM_3 [265ms]
132.243.203.207:8443#AT_1 [156ms]
132.243.203.243:8443#AT_2 [156ms]
46.102.157.145:443#AT_3 [156ms]
130.195.222.215:443#AT_4 [172ms]
132.243.203.193:8443#AT_5 [172ms]
132.243.203.214:8443#AT_6 [172ms]
37.252.189.207:443#AT_7 [188ms]
46.102.156.144:2053#AT_8 [188ms]
209.38.22.182:443#AU_1 [188ms]
209.38.82.114:443#AU_2 [203ms]
168.138.15.142:8443#AU_3 [297ms]
152.67.125.174:443#AU_4 [328ms]
206.245.167.71:443#AU_5 [1250ms]
194.87.240.67:443#BE_1 [156ms]
188.190.26.243:443#BE_2 [172ms]
141.98.233.190:8443#BE_3 [203ms]
128.127.180.240:2053#BE_4 [219ms]
104.155.124.198:443#BE_5 [234ms]
38.180.18.43:8443#BE_6 [235ms]
185.206.146.190:8443#BG_1 [188ms]
185.203.116.174:443#BG_2 [218ms]
104.152.48.205:443#BG_3 [219ms]
94.72.140.210:443#BG_4 [234ms]
193.37.212.56:2053#BG_5 [235ms]
185.205.210.144:443#BG_6 [250ms]
104.152.48.205:8443#BG_7 [281ms]
185.232.171.94:443#BG_8 [313ms]
152.67.41.217:443#BR_1 [375ms]
132.226.163.224:8443#BR_2 [422ms]
216.238.116.196:8443#BR_3 [422ms]
38.180.78.255:443#BR_4 [453ms]
146.235.59.153:8443#BR_5 [1391ms]
146.235.59.153:2053#BR_6 [1407ms]
44.32.224.195:2053#CA_1 [188ms]
65.49.232.101:443#CA_2 [203ms]
23.173.104.239:2053#CA_3 [219ms]
23.173.104.230:2053#CA_4 [219ms]
23.173.104.199:2053#CA_5 [219ms]
23.173.104.222:2053#CA_6 [234ms]
23.173.104.210:2053#CA_7 [234ms]
23.173.104.212:2053#CA_8 [234ms]
45.90.59.18:443#CH_1 [156ms]
103.63.30.73:443#CH_2 [156ms]
185.195.69.119:2053#CH_3 [187ms]
45.59.117.238:443#CH_4 [187ms]
103.63.30.230:443#CH_5 [188ms]
45.90.57.139:8443#CH_6 [188ms]
149.33.15.96:2053#CH_7 [188ms]
140.238.208.210:443#CH_8 [203ms]
64.176.4.154:8443#CL_1 [422ms]
193.24.232.154:2053#CY_1 [265ms]
185.253.46.235:443#CZ_1 [156ms]
38.180.48.182:8443#CZ_2 [171ms]
132.243.16.201:2053#CZ_3 [281ms]
85.137.167.159:443#CZ_4 [343ms]
91.199.160.230:443#CZ_5 [1297ms]
104.194.156.164:443#DE_1 [125ms]
138.124.28.11:443#DE_2 [140ms]
171.22.31.116:8443#DE_3 [140ms]
193.233.134.254:8443#DE_4 [141ms]
144.31.192.220:443#DE_5 [141ms]
18.185.128.209:443#DE_6 [141ms]
109.122.197.71:443#DE_7 [141ms]
144.31.116.8:443#DE_8 [141ms]
193.181.213.227:443#DK_1 [156ms]
193.180.208.58:443#DK_2 [156ms]
89.28.236.192:8443#DK_3 [172ms]
193.180.213.29:443#DK_4 [203ms]
92.119.129.148:8443#DK_5 [218ms]
193.181.208.28:8443#DK_6 [266ms]
80.78.23.165:443#DK_7 [266ms]
80.78.19.11:443#DK_8 [266ms]
181.36.229.212:2096#DO_1 [281ms]
185.215.187.143:443#EE_1 [187ms]
5.101.118.52:443#EE_2 [203ms]
5.45.118.75:8443#EE_3 [204ms]
5.101.180.145:443#EE_4 [218ms]
5.45.117.125:443#EE_5 [219ms]
46.22.211.46:443#EE_6 [219ms]
38.180.163.54:443#EE_7 [234ms]
5.101.118.36:443#EE_8 [234ms]
217.72.207.16:8443#ES_1 [219ms]
141.253.194.63:443#ES_2 [234ms]
103.45.245.208:2053#ES_3 [250ms]
31.57.190.7:443#ES_4 [250ms]
